GeneID,GeneName,Log2FC_Y_VS_N
ENSG00000145220,LYAR,0.010086481
ENSG00000049239,H6PD,0.010086114
ENSG00000113734,BNIP1,0.010086012
ENSG00000225936,AL731557.1,0.010085923
ENSG00000179456,ZBTB18,0.010085853
ENSG00000234912,SNHG20,0.010084376
ENSG00000197386,HTT,0.010074398
ENSG00000006530,AGK,0.01007166
ENSG00000242865,RN7SL244P,0.010066314
ENSG00000158156,XKR8,0.010063716
ENSG00000259330,INAFM2,0.010061694
ENSG00000278615,C11orf98,0.010059686
ENSG00000178694,NSUN3,0.010059105
ENSG00000136874,STX17,0.010058452
ENSG00000234231,ANAPC1P4,0.010053804
ENSG00000260286,ARMH2,0.010052581
ENSG00000243659,FO393419.3,0.010038236
ENSG00000109189,USP46,0.010037511
ENSG00000101464,PIGU,0.010031634
ENSG00000130584,ZBTB46,0.01002565
ENSG00000109917,ZPR1,0.01002454
ENSG00000183828,NUDT14,0.010023709
ENSG00000170873,MTSS1,0.010017083
ENSG00000147133,TAF1,0.009997363
ENSG00000186792,HYAL3,0.009991504
ENSG00000229948,B3GALNT1P1,0.009982775
ENSG00000162434,JAK1,0.009979515
ENSG00000120915,EPHX2,0.009965472
ENSG00000100100,PIK3IP1,0.009964149
ENSG00000115896,PLCL1,0.009962012
ENSG00000149474,KAT14,0.009955826
ENSG00000112290,WASF1,0.009955191
ENSG00000272679,AL355987.2,0.009951484
ENSG00000174744,BRMS1,0.009939541
ENSG00000103152,MPG,0.009937124
ENSG00000013374,NUB1,0.00992929
ENSG00000215845,TSTD1,0.009927167
ENSG00000117280,RAB29,0.009921109
ENSG00000291151,,0.009918264
ENSG00000280433,FP565260.6,0.009917952
ENSG00000233122,CTAGE7P,0.00991261
ENSG00000250186,AC091180.3,0.009912163
ENSG00000211768,TRBJ2-4,0.009908102
ENSG00000158301,GPRASP2,0.009902312
ENSG00000158428,CATIP,0.009897106
ENSG00000291188,,0.009895181
ENSG00000278743,AC087239.1,0.009892205
ENSG00000089060,SLC8B1,0.009889085
ENSG00000169122,FAM110B,0.009883012
ENSG00000108424,KPNB1,0.009875716
ENSG00000247595,SPTY2D1OS,0.009865789
ENSG00000200795,RNU4-1,0.009859665
ENSG00000188394,GPR21,0.009857619
ENSG00000290109,,0.009853296
ENSG00000196826,AC008758.1,0.00984734
ENSG00000111790,FGFR1OP2,0.009846057
ENSG00000288833,,0.00984429
ENSG00000106993,CDC37L1,0.009842159
ENSG00000213707,HMGB1P10,0.009837572
ENSG00000184428,TOP1MT,0.009836444
ENSG00000205808,PLPP6,0.009827327
ENSG00000136999,CCN3,0.009822384
ENSG00000218991,CCNG1P1,0.009808458
ENSG00000160752,FDPS,0.009796275
ENSG00000233554,B4GALT1-AS1,0.00977883
ENSG00000155906,RMND1,0.009771899
ENSG00000261399,AL031710.1,0.009771233
ENSG00000232377,AC016910.1,0.009768714
ENSG00000169032,MAP2K1,0.009762125
ENSG00000253180,AC104986.1,0.00974348
ENSG00000261857,MIA,0.00974261
ENSG00000237984,PTENP1,0.009742029
ENSG00000181778,TMEM252,0.009730784
ENSG00000076067,RBMS2,0.009724075
ENSG00000105397,TYK2,0.009723153
ENSG00000226824,AC006001.2,0.009720349
ENSG00000272170,AL355385.1,0.009718676
ENSG00000228212,OFD1P17,0.009718413
ENSG00000289031,,0.009714559
ENSG00000275318,AL136981.2,0.009710903
ENSG00000204438,GPANK1,0.009707291
ENSG00000117682,DHDDS,0.0097068
ENSG00000184261,KCNK12,0.009704153
ENSG00000168350,DEGS2,0.009700192
ENSG00000132623,ANKEF1,0.009696356
ENSG00000272588,AC139887.4,0.009696256
ENSG00000177989,ODF3B,0.009691519
ENSG00000181619,GPR135,0.009686266
ENSG00000261136,AC023908.3,0.00967365
ENSG00000172590,MRPL52,0.009673268
ENSG00000113119,TMCO6,0.009671519
ENSG00000058056,USP13,0.00966067
ENSG00000242398,RN7SL800P,0.009653588
ENSG00000168899,VAMP5,0.009648288
ENSG00000134504,KCTD1,0.009646188
ENSG00000131508,UBE2D2,0.009644025
ENSG00000267026,AL136084.1,0.009643795
ENSG00000256591,AP003108.2,0.009634767
ENSG00000088832,FKBP1A,0.009633937
ENSG00000288715,,0.009626539
ENSG00000196421,C20orf204,0.009621248
ENSG00000141699,RETREG3,0.009605918
ENSG00000223959,AFG3L1P,0.00960225
ENSG00000259891,AC107375.1,0.00956438
ENSG00000224220,DTNB-AS1,0.009563617
ENSG00000141252,VPS53,0.009560265
ENSG00000070413,DGCR2,0.009555962
ENSG00000287878,AC022382.2,0.009554128
ENSG00000006695,COX10,0.009551418
ENSG00000163126,ANKRD23,0.009547928
ENSG00000171307,ZDHHC16,0.009542737
ENSG00000106346,USP42,0.009541311
ENSG00000067560,RHOA,0.009540771
ENSG00000176845,METRNL,0.009535911
ENSG00000165948,IFI27L1,0.00952705
ENSG00000290052,,0.009519764
ENSG00000106400,ZNHIT1,0.009519518
ENSG00000221926,TRIM16,0.0095165
ENSG00000168014,C2CD3,0.009516349
ENSG00000157315,TMED6,0.009510111
ENSG00000164291,ARSK,0.009500371
ENSG00000216639,AL133406.1,0.009499271
ENSG00000284308,C2orf81,0.009492457
ENSG00000211697,TRGV5,0.00949053
ENSG00000005156,LIG3,0.009488014
ENSG00000135390,ATP5MC2,0.009487044
ENSG00000201544,SNORA16B,0.009485048
ENSG00000260943,LINC02555,0.009484174
ENSG00000273541,AL137060.1,0.009481146
ENSG00000241468,ATP5MF,0.009477323
ENSG00000058262,SEC61A1,0.009462028
ENSG00000178562,CD28,0.009453337
ENSG00000227070,EPS15-AS1,0.009443229
ENSG00000180104,EXOC3,0.009432668
ENSG00000271664,AC004890.3,0.009430606
ENSG00000291078,,0.009429693
ENSG00000280758,AL356481.3,0.009416871
ENSG00000110906,KCTD10,0.009413792
ENSG00000288853,,0.009412416
ENSG00000266954,AP001010.1,0.009407304
ENSG00000251369,ZNF550,0.00940573
ENSG00000115073,ACTR1B,0.009392632
ENSG00000134882,UBAC2,0.00939129
ENSG00000214300,SPDYE3,0.009385237
ENSG00000267529,AP005131.4,0.009380187
ENSG00000230322,AL136320.1,0.0093783
ENSG00000101246,ARFRP1,0.009376416
ENSG00000285025,AL022312.1,0.009375927
ENSG00000118369,USP35,0.0093684
ENSG00000121903,ZSCAN20,0.009368373
ENSG00000147421,HMBOX1,0.009365698
ENSG00000214226,C17orf67,0.009358081
ENSG00000277476,AC005332.5,0.009349678
ENSG00000182481,KPNA2,0.009347515
ENSG00000050555,LAMC3,0.009339283
ENSG00000244041,LINC01011,0.009336243
ENSG00000174775,HRAS,0.009333621
ENSG00000275186,AC018445.1,0.009332143
ENSG00000203666,EFCAB2,0.009315871
ENSG00000184058,TBX1,0.009312747
ENSG00000182376,AC138028.1,0.009311079
ENSG00000135124,P2RX4,0.009303882
ENSG00000100151,PICK1,0.009301151
ENSG00000018610,CXorf56,0.009294568
ENSG00000115318,LOXL3,0.00929294
ENSG00000143199,ADCY10,0.009286327
ENSG00000119431,HDHD3,0.009277421
ENSG00000268565,AC005339.1,0.009273051
ENSG00000137266,SLC22A23,0.009271157
ENSG00000051180,RAD51,0.009262758
ENSG00000257475,AC068888.2,0.009261734
ENSG00000140905,GCSH,0.009260536
ENSG00000205268,PDE7A,0.0092604
ENSG00000084110,HAL,0.009242081
ENSG00000259976,AC093010.2,0.009240103
ENSG00000177565,TBL1XR1,0.009235117
ENSG00000271064,AC027644.2,0.009234576
ENSG00000251405,AC016571.1,0.009234227
ENSG00000198690,FAN1,0.009232917
ENSG00000164338,UTP15,0.009229422
ENSG00000115956,PLEK,0.009229138
ENSG00000158869,FCER1G,0.009228528
ENSG00000259322,AC090607.1,0.009226434
ENSG00000124788,ATXN1,0.009225708
ENSG00000106328,FSCN3,0.009209527
ENSG00000167553,TUBA1C,0.009208023
ENSG00000223505,RPL35AP5,0.009198931
ENSG00000248664,AC010273.2,0.009196595
ENSG00000166971,AKTIP,0.009194084
ENSG00000121057,AKAP1,0.009188192
ENSG00000290048,,0.009175456
ENSG00000225420,AC104134.1,0.00917338
ENSG00000238260,AL513320.1,0.009161369
ENSG00000109667,SLC2A9,0.009139144
ENSG00000235288,AC099329.1,0.009137008
ENSG00000270557,AC013731.1,0.009134002
ENSG00000171700,RGS19,0.009128537
ENSG00000240012,SLC9A9-AS1,0.009123793
ENSG00000173085,COQ2,0.00912069
ENSG00000213139,CRYGS,0.00911908
ENSG00000175265,GOLGA8A,0.009117152
ENSG00000170734,POLH,0.009113387
ENSG00000171606,ZNF274,0.00910185
ENSG00000167969,ECI1,0.009100809
ENSG00000244627,TPTEP2,0.009087932
ENSG00000287216,AC106865.2,0.009082734
ENSG00000160201,U2AF1,0.009081901
ENSG00000228242,XPC-AS1,0.009073837
ENSG00000280295,AC099811.6,0.009073551
ENSG00000158710,TAGLN2,0.009072162
ENSG00000284773,AC114490.2,0.009064041
ENSG00000255422,AP002954.1,0.009056332
ENSG00000174885,NLRP6,0.00905066
ENSG00000139737,SLAIN1,0.009036151
ENSG00000064607,SUGP2,0.009034144
ENSG00000187736,NHEJ1,0.009032636
ENSG00000230593,PPIAP40,0.009026632
ENSG00000267100,ILF3-DT,0.009016194
ENSG00000244998,AC100803.2,0.009008954
ENSG00000015532,XYLT2,0.009000654
ENSG00000056972,TRAF3IP2,0.008993391
ENSG00000116106,EPHA4,0.008992543
ENSG00000173614,NMNAT1,0.008981047
ENSG00000267449,AC005884.2,0.008979855
ENSG00000118655,DCLRE1B,0.008978232
ENSG00000100124,ANKRD54,0.008974794
ENSG00000267741,UBE2L4,0.008970446
ENSG00000266820,KPNA2P3,0.00896283
ENSG00000237073,AL162727.2,0.008946764
ENSG00000289262,,0.008945107
ENSG00000143315,PIGM,0.008943183
ENSG00000265791,AC127024.4,0.008937881
ENSG00000174611,KY,0.008937582
ENSG00000166166,TRMT61A,0.008933486
ENSG00000100014,SPECC1L,0.008927674
ENSG00000133466,C1QTNF6,0.008921566
ENSG00000248323,LUCAT1,0.008918965
ENSG00000171444,MCC,0.008915126
ENSG00000148660,CAMK2G,0.008907126
ENSG00000204659,CBY3,0.00890644
ENSG00000266397,AP000919.2,0.008897174
ENSG00000161800,RACGAP1,0.008896857
ENSG00000100216,TOMM22,0.008895267
ENSG00000226696,LENG8-AS1,0.00889216
ENSG00000132661,NXT1,0.008889756
ENSG00000113048,MRPS27,0.008888292
ENSG00000171522,PTGER4,0.008885514
ENSG00000002330,BAD,0.008880007
ENSG00000224722,AC020688.1,0.00887653
ENSG00000249971,AC104116.1,0.008873757
ENSG00000177479,ARIH2,0.008868776
ENSG00000288841,,0.008859482
ENSG00000059145,UNKL,0.008859406
ENSG00000086015,MAST2,0.008858026
ENSG00000252707,RNU11-2P,0.008857079
ENSG00000213742,ZNF337-AS1,0.008852434
ENSG00000235112,HSPE1P27,0.008849871
ENSG00000143942,CHAC2,0.008847715
ENSG00000248734,AC008906.1,0.008845971
ENSG00000079385,CEACAM1,0.008845918
ENSG00000155256,ZFYVE27,0.008844404
ENSG00000115129,TP53I3,0.008829705
ENSG00000117448,AKR1A1,0.008828803
ENSG00000181126,HLA-V,0.008826206
ENSG00000247317,LY6E-DT,0.008824387
ENSG00000249624,AP000295.1,0.008810936
ENSG00000112242,E2F3,0.008810016
ENSG00000210191,MT-TL2,0.008807504
ENSG00000100578,KIAA0586,0.008804527
ENSG00000160563,MED27,0.008799973
ENSG00000249245,NCOA4P3,0.008793897
ENSG00000028528,SNX1,0.008792126
ENSG00000077044,DGKD,0.008790945
ENSG00000270012,AC232271.1,0.008781004
ENSG00000188467,SLC24A5,0.008777786
ENSG00000112763,BTN2A1,0.00876829
ENSG00000101160,CTSZ,0.008767156
ENSG00000146856,AGBL3,0.008760496
ENSG00000246560,UBE2D3-AS1,0.008757404
ENSG00000159202,UBE2Z,0.00875345
ENSG00000198520,ARMH1,0.008747186
ENSG00000144118,RALB,0.008745956
ENSG00000139178,C1RL,0.008744764
ENSG00000250302,LINC01618,0.008742371
ENSG00000144048,DUSP11,0.008730174
ENSG00000078304,PPP2R5C,0.008729127
ENSG00000259053,AL137230.2,0.008726773
ENSG00000284657,AL031432.5,0.00872123
ENSG00000249590,AC004832.3,0.008719543
ENSG00000159445,THEM4,0.008715131
ENSG00000290646,,0.008709427
ENSG00000243544,RN7SL172P,0.008706632
ENSG00000261349,AL031432.2,0.008706248
ENSG00000160193,WDR4,0.008705698
ENSG00000180209,MYLPF,0.008691534
ENSG00000179029,TMEM107,0.008687019
ENSG00000234149,AC018511.2,0.008685835
ENSG00000280109,PLAC4,0.008677514
ENSG00000283580,AC098484.3,0.008673381
ENSG00000181800,CELF2-AS1,0.008670052
ENSG00000137409,MTCH1,0.008665244
ENSG00000283856,MIR7703,0.008659311
ENSG00000119487,MAPKAP1,0.008652882
ENSG00000241370,RPP21,0.008646702
ENSG00000091947,TMEM101,0.008629706
ENSG00000201183,RNVU1-3,0.008602685
ENSG00000257093,DENND11,0.008598456
ENSG00000274322,AL136531.2,0.008596384
ENSG00000223705,NSUN5P1,0.008596012
ENSG00000132780,NASP,0.008595684
ENSG00000279159,AC003681.1,0.008595525
ENSG00000285679,AC079142.1,0.00859223
ENSG00000269463,AP001160.4,0.008585095
ENSG00000181924,COA4,0.008581656
ENSG00000167100,SAMD14,0.008581479
ENSG00000040531,CTNS,0.008580795
ENSG00000150433,TMEM218,0.008578911
ENSG00000120053,GOT1,0.008573669
ENSG00000137822,TUBGCP4,0.008560211
ENSG00000256053,COA8,0.00855765
ENSG00000231793,DOC2GP,0.008552296
ENSG00000267048,AC092143.3,0.008551503
ENSG00000229456,RLIMP1,0.008540801
ENSG00000245571,FAM111A-DT,0.008523446
ENSG00000160953,PWWP3A,0.008521268
ENSG00000164081,TEX264,0.008514643
ENSG00000235513,L3MBTL2-AS1,0.008512003
ENSG00000276259,AC009118.3,0.008511565
ENSG00000261267,AC026470.2,0.008500199
ENSG00000230732,AC016949.1,0.008496407
ENSG00000225663,MCRIP1,0.008495878
ENSG00000117174,ZNHIT6,0.008494191
ENSG00000133874,RNF122,0.008492757
ENSG00000236478,AC012513.2,0.008492258
ENSG00000148356,LRSAM1,0.008489899
ENSG00000090621,PABPC4,0.008487895
ENSG00000166228,PCBD1,0.008445438
ENSG00000226530,AL158055.1,0.008444279
ENSG00000223745,CCDC18-AS1,0.008442816
ENSG00000259456,ADNP-AS1,0.00843668
ENSG00000196696,PDXDC2P-NPIPB14P,0.008422998
ENSG00000270055,AC127502.2,0.008418552
ENSG00000101413,RPRD1B,0.008411055
ENSG00000223551,TMSB4XP4,0.008407467
ENSG00000281162,LINC01127,0.008393379
ENSG00000223496,EXOSC6,0.008390502
ENSG00000186399,GOLGA8R,0.008390074
ENSG00000279342,AP000866.6,0.008388456
ENSG00000179933,C14orf119,0.008375794
ENSG00000224536,AC096677.1,0.008375296
ENSG00000109956,B3GAT1,0.008375128
ENSG00000279108,AC008537.3,0.008370515
ENSG00000290026,,0.008367683
ENSG00000151465,CDC123,0.008361836
ENSG00000074755,ZZEF1,0.008358768
ENSG00000100526,CDKN3,0.008352174
ENSG00000169814,BTD,0.008351829
ENSG00000188365,AC092171.1,0.008344281
ENSG00000131504,DIAPH1,0.008337246
ENSG00000290018,,0.00833098
ENSG00000180398,MCFD2,0.008329492
ENSG00000174715,PPIAP72,0.00831373
ENSG00000188710,QRFP,0.008312264
ENSG00000183605,SFXN4,0.008311982
ENSG00000174437,ATP2A2,0.00829834
ENSG00000197928,ZNF677,0.008288193
ENSG00000257847,LSM3P2,0.008286865
ENSG00000204623,ZNRD1ASP,0.008282884
ENSG00000181007,ZFP82,0.008282607
ENSG00000106789,CORO2A,0.008282448
ENSG00000165480,SKA3,0.008251088
ENSG00000228395,AL356481.1,0.008235482
ENSG00000233029,AC244453.2,0.008234818
ENSG00000287124,AL512603.2,0.008226077
ENSG00000143786,CNIH3,0.008216464
ENSG00000234945,GTF3C2-AS1,0.008215135
ENSG00000107954,NEURL1,0.008211387
ENSG00000054611,TBC1D22A,0.008202219
ENSG00000147548,NSD3,0.00819511
ENSG00000281571,AC241585.2,0.00819043
ENSG00000133195,SLC39A11,0.008189738
ENSG00000162302,RPS6KA4,0.008173771
ENSG00000279759,AC118344.2,0.008173693
ENSG00000170325,PRDM10,0.008167221
ENSG00000287214,AC021321.2,0.008160864
ENSG00000286153,AP000331.1,0.008160854
ENSG00000102984,ZNF821,0.008160231
ENSG00000140368,PSTPIP1,0.008154258
ENSG00000164638,SLC29A4,0.008151351
ENSG00000274259,SYNGAP1-AS1,0.008148851
ENSG00000291237,,0.008136954
ENSG00000253519,AC106801.1,0.008125542
ENSG00000128604,IRF5,0.008119459
ENSG00000284431,AL022238.3,0.008118553
ENSG00000143543,JTB,0.008117648
ENSG00000260942,CAPN10-DT,0.008116232
ENSG00000248671,ALG1L9P,0.0081118
ENSG00000158636,EMSY,0.008106375
ENSG00000163900,TMEM41A,0.008099497
ENSG00000182307,C8orf33,0.00808317
ENSG00000232807,AL137186.2,0.008082716
ENSG00000202533,Y_RNA,0.00807475
ENSG00000158859,ADAMTS4,0.008063993
ENSG00000188725,SMIM15,0.008055969
ENSG00000150401,DCUN1D2,0.008055481
ENSG00000165923,AGBL2,0.008044703
ENSG00000037637,FBXO42,0.008043938
ENSG00000262576,PCDHGA4,0.00804098
ENSG00000132475,H3-3B,0.008030995
ENSG00000267030,AC011498.2,0.008020427
ENSG00000198276,UCKL1,0.00801469
ENSG00000229867,STEAP3-AS1,0.008011178
ENSG00000181652,ATG9B,0.008005602
ENSG00000176160,HSF5,0.008004304
ENSG00000181123,AC004832.1,0.007988988
ENSG00000287408,AC027811.1,0.007984973
ENSG00000275856,AL669914.2,0.007977307
ENSG00000167333,TRIM68,0.007971781
ENSG00000208772,SNORD94,0.007971069
ENSG00000101230,ISM1,0.007966049
ENSG00000146842,TMEM209,0.007959965
ENSG00000255624,C10orf88B,0.007956697
ENSG00000133872,SARAF,0.007952086
ENSG00000273747,AC022558.3,0.007951116
ENSG00000153395,LPCAT1,0.007950121
ENSG00000011638,TMEM159,0.007946986
ENSG00000143252,SDHC,0.007941935
ENSG00000261351,AC116913.1,0.007939611
ENSG00000162194,LBHD1,0.007936352
ENSG00000234393,AL592546.2,0.007932597
ENSG00000284353,MIR142,0.007918417
ENSG00000167968,DNASE1L2,0.007916998
ENSG00000197930,ERO1A,0.007906585
ENSG00000279413,AC112497.2,0.007898953
ENSG00000179564,LSMEM2,0.007883676
ENSG00000110048,OSBP,0.007883601
ENSG00000162191,UBXN1,0.00787568
ENSG00000138614,INTS14,0.007875036
ENSG00000088812,ATRN,0.007871794
ENSG00000168710,AHCYL1,0.007868593
ENSG00000142856,ITGB3BP,0.007864597
ENSG00000261592,AC010531.3,0.007863648
ENSG00000206597,SNORA57,0.00786125
ENSG00000039600,SOX30,0.007858827
ENSG00000207955,AL359091.1,0.007858212
ENSG00000291087,,0.007856369
ENSG00000135414,GDF11,0.007847951
ENSG00000188033,ZNF490,0.007840416
ENSG00000157429,ZNF19,0.00783388
ENSG00000289574,,0.00782661
ENSG00000248283,CCNL2P1,0.007823866
ENSG00000182108,DEXI,0.007822229
ENSG00000108669,CYTH1,0.007817109
ENSG00000158483,FAM86C1P,0.007816741
ENSG00000197555,SIPA1L1,0.007801473
ENSG00000287040,AL590560.5,0.007790006
ENSG00000138670,RASGEF1B,0.007788473
ENSG00000134909,ARHGAP32,0.007779922
ENSG00000211848,TRAJ41,0.00777714
ENSG00000188295,ZNF669,0.007774025
ENSG00000133030,MPRIP,0.007763901
ENSG00000285600,AC023593.1,0.0077626
ENSG00000135452,TSPAN31,0.007753052
ENSG00000060982,BCAT1,0.007750231
ENSG00000176927,EFCAB5,0.00774619
ENSG00000213599,SLX1A-SULT1A3,0.007742639
ENSG00000141298,SSH2,0.007742195
ENSG00000127328,RAB3IP,0.007738124
ENSG00000164535,DAGLB,0.007728866
ENSG00000198890,PRMT6,0.007717495
ENSG00000285677,AL355388.1,0.007711027
ENSG00000286214,AUXG01000058.1,0.007707805
ENSG00000291118,,0.007698599
ENSG00000224629,AC004975.1,0.007695735
ENSG00000243660,ZNF487,0.007691401
ENSG00000168917,SLC35G2,0.00768905
ENSG00000262837,AC027801.5,0.007688548
ENSG00000058404,CAMK2B,0.007685268
ENSG00000106686,SPATA6L,0.007682649
ENSG00000124593,AL365205.1,0.007682154
ENSG00000272086,AC025181.2,0.007669602
ENSG00000007062,PROM1,0.007653714
ENSG00000131373,HACL1,0.007649895
ENSG00000269968,AC006064.4,0.007642075
ENSG00000111671,SPSB2,0.00763958
ENSG00000270061,AC068790.5,0.007638594
ENSG00000291015,,0.007633325
ENSG00000042980,ADAM28,0.007627084
ENSG00000279529,AC008764.8,0.007626225
ENSG00000006831,ADIPOR2,0.007625947
ENSG00000243716,NPIPB5,0.007622492
ENSG00000231964,AL731567.1,0.007616551
ENSG00000204261,PSMB8-AS1,0.007615599
ENSG00000239605,STPG4,0.007600735
ENSG00000072952,IRAG1,0.007598701
ENSG00000205531,NAP1L4,0.007593653
ENSG00000277449,CEBPB-AS1,0.007585342
ENSG00000149600,COMMD7,0.007582645
ENSG00000078487,ZCWPW1,0.007578593
ENSG00000111196,MAGOHB,0.007576128
ENSG00000171262,FAM98B,0.007553928
ENSG00000262870,CYCSP40,0.0075476
ENSG00000249859,PVT1,0.007539308
ENSG00000276314,SNORD107,0.007525586
ENSG00000145916,RMND5B,0.007521511
ENSG00000255026,AC136475.3,0.007519952
ENSG00000106153,CHCHD2,0.007508818
ENSG00000213203,GIMAP1,0.007506622
ENSG00000165527,ARF6,0.00750268
ENSG00000130717,UCK1,0.0074997
ENSG00000168386,FILIP1L,0.007498834
ENSG00000196177,ACADSB,0.007498346
ENSG00000279453,Z99129.4,0.007494204
ENSG00000187189,TSPYL4,0.007492845
ENSG00000124508,BTN2A2,0.007491419
ENSG00000251417,AC145285.2,0.007488843
ENSG00000097096,SYDE2,0.007486788
ENSG00000278952,AP003068.4,0.007482974
ENSG00000287229,AC009731.1,0.007472536
ENSG00000284922,AP000812.4,0.007463603
ENSG00000105677,TMEM147,0.007462328
ENSG00000131368,MRPS25,0.007451999
ENSG00000144791,LIMD1,0.007451021
ENSG00000244063,AC104653.2,0.007441444
ENSG00000074621,SLC24A1,0.007431201
ENSG00000100201,DDX17,0.007430205
ENSG00000120688,WBP4,0.007428157
ENSG00000271806,AL590822.2,0.007422429
ENSG00000226833,AC092164.1,0.007407768
ENSG00000235897,TM4SF19-AS1,0.007406034
ENSG00000273820,USP27X,0.007401188
ENSG00000212127,TAS2R14,0.007400075
ENSG00000265656,AC106037.3,0.007369269
ENSG00000261824,LINC00662,0.007366129
ENSG00000178038,ALS2CL,0.007361499
ENSG00000175455,CCDC14,0.007359393
ENSG00000225218,AP001628.1,0.007356713
ENSG00000267838,AC245884.8,0.007355087
ENSG00000289720,,0.007351515
ENSG00000258768,AL356019.2,0.007348139
ENSG00000115267,IFIH1,0.007335751
ENSG00000236986,AL157938.2,0.007321049
ENSG00000157916,RER1,0.007320321
ENSG00000254341,SNORD87,0.007316919
ENSG00000090581,GNPTG,0.007315958
ENSG00000005513,SOX8,0.007315332
ENSG00000249471,ZNF324B,0.007310622
ENSG00000120693,SMAD9,0.00731053
ENSG00000144468,RHBDD1,0.007308399
ENSG00000149658,YTHDF1,0.00730117
ENSG00000224358,TMCO1-AS1,0.007296838
ENSG00000114383,TUSC2,0.007289327
ENSG00000251432,LINC02615,0.007288188
ENSG00000177606,JUN,0.007280537
ENSG00000128908,INO80,0.007275952
ENSG00000171853,TRAPPC12,0.00726934
ENSG00000279649,AC020978.9,0.007269058
ENSG00000291159,,0.007268428
ENSG00000290230,,0.007258075
ENSG00000136731,UGGT1,0.007251016
ENSG00000196437,ZNF569,0.007251012
ENSG00000257921,AC025165.3,0.00725048
ENSG00000092964,DPYSL2,0.007241544
ENSG00000067369,TP53BP1,0.007226434
ENSG00000285645,AL133410.3,0.007215306
ENSG00000125846,ZNF133,0.007191174
ENSG00000117751,PPP1R8,0.007187262
ENSG00000143570,SLC39A1,0.007183653
ENSG00000105497,ZNF175,0.007180563
ENSG00000162384,CZIB,0.007163433
ENSG00000119640,ACYP1,0.007157306
ENSG00000224707,E2F3-IT1,0.007156518
ENSG00000158158,CNNM4,0.007153876
ENSG00000130244,FAM98C,0.007142955
ENSG00000217083,MTCO2P33,0.007139406
ENSG00000134489,HRH4,0.007125159
ENSG00000196655,TRAPPC4,0.007123372
ENSG00000176659,C20orf197,0.007116604
ENSG00000168675,LDLRAD4,0.00711624
ENSG00000187531,SIRT7,0.007113559
ENSG00000289763,,0.007107564
ENSG00000266969,AP002449.1,0.007100951
ENSG00000131148,EMC8,0.007098709
ENSG00000261996,AC004706.1,0.007093973
ENSG00000233382,NKAPP1,0.007087329
ENSG00000290057,,0.007079817
ENSG00000143248,RGS5,0.007078357
ENSG00000174579,MSL2,0.007065496
ENSG00000151881,TMEM267,0.007052391
ENSG00000140563,MCTP2,0.007051447
ENSG00000101391,CDK5RAP1,0.007051138
ENSG00000158714,SLAMF8,0.007046051
ENSG00000275221,H2AC15,0.007020266
ENSG00000185842,DNAH14,0.007018922
ENSG00000279092,AC025678.3,0.007006216
ENSG00000148606,POLR3A,0.006997452
ENSG00000236188,PRKX-AS1,0.006991058
ENSG00000228149,RPL3P1,0.006989603
ENSG00000288933,,0.006988448
ENSG00000041988,THAP3,0.006985638
ENSG00000215440,NPEPL1,0.006985201
ENSG00000117153,KLHL12,0.006983782
ENSG00000258476,LINC02207,0.00696929
ENSG00000291273,,0.006968018
ENSG00000261229,AC021483.2,0.006961902
ENSG00000185721,DRG1,0.006961256
ENSG00000119689,DLST,0.006931587
ENSG00000212993,POU5F1B,0.006928825
ENSG00000104613,INTS10,0.00692425
ENSG00000113194,FAF2,0.006922505
ENSG00000254703,SENCR,0.006916031
ENSG00000185024,BRF1,0.006914688
ENSG00000213672,NCKIPSD,0.006912698
ENSG00000253806,AC108002.1,0.006909751
ENSG00000228452,AC098484.1,0.006906423
ENSG00000266490,AC127024.5,0.00690256
ENSG00000185689,C6orf201,0.006902559
ENSG00000170837,GPR27,0.006896397
ENSG00000180257,ZNF816,0.006893793
ENSG00000026508,CD44,0.006893776
ENSG00000173653,RCE1,0.006893331
ENSG00000174886,NDUFA11,0.006892146
ENSG00000289587,,0.006892137
ENSG00000198815,FOXJ3,0.006885431
ENSG00000196352,CD55,0.00688109
ENSG00000235162,C12orf75,0.006871385
ENSG00000260729,AC009690.1,0.006856539
ENSG00000134248,LAMTOR5,0.006856437
ENSG00000121774,KHDRBS1,0.006854472
ENSG00000235381,AL596202.1,0.006840695
ENSG00000163516,ANKZF1,0.006840391
ENSG00000229663,DPY19L4P1,0.006840194
ENSG00000253159,PCDHGA12,0.006832925
ENSG00000179562,GCC1,0.006813303
ENSG00000223478,AL441992.1,0.006813179
ENSG00000230289,AL358781.2,0.006808747
ENSG00000120694,HSPH1,0.006805146
ENSG00000215908,CROCCP2,0.006800514
ENSG00000242485,MRPL20,0.006788505
ENSG00000251520,AL162431.2,0.006785569
ENSG00000249593,AC011405.1,0.006764844
ENSG00000250659,AP001363.1,0.00675743
ENSG00000271461,CKAP2LP1,0.00673787
ENSG00000067606,PRKCZ,0.006732492
ENSG00000105258,POLR2I,0.006727657
ENSG00000087263,OGFOD1,0.006712607
ENSG00000240857,RDH14,0.00671046
ENSG00000075856,SART3,0.006702958
ENSG00000185250,PPIL6,0.006695626
ENSG00000140350,ANP32A,0.006694185
ENSG00000166401,SERPINB8,0.006689711
ENSG00000188070,C11orf95,0.006689279
ENSG00000101751,POLI,0.006686457
ENSG00000182768,NGRN,0.00668081
ENSG00000085978,ATG16L1,0.006669268
